ricoh_process_time,yolo_frame_time,lidar_scan_time,yolo_processing_time,person_id,yolo_angle_deg,lidar_mean_x_rover,lidar_mean_y_rover,lidar_angle_deg_rover
1783396710.2130427,1783396710.1706588,1783396709.9630427,0.04238390922546387,1,78.07397994944816,0.9641347512538521,3.5051753098917104,74.62053405508765
1783396710.2810764,1783396710.1706588,1783396710.0310764,0.11041760444641113,1,78.07397994944816,0.9641347512538521,3.5051753098917104,74.62053405508765
1783396710.3385441,1783396710.3073142,1783396710.0885441,0.03122997283935547,1,78.30660253220044,0.9183198904762007,3.4518262339332613,75.10217104438742
1783396710.3947651,1783396710.3073142,1783396710.1447651,0.08745098114013672,1,78.30660253220044,0.8974387018090426,3.3223838565016575,74.88407501620239
1783396710.5265408,1783396710.4440706,1783396710.2765408,0.08247017860412598,1,77.07864380245887,1.0008360122181115,3.35607607694641,73.3945708706202
1783396710.5922637,1783396710.5813038,1783396710.3422637,0.010959863662719727,1,75.95563092931455,1.0455081857292647,3.2781870529007997,72.31102110032425
1783396710.648947,1783396710.5813038,1783396710.398947,0.0676431655883789,1,75.95563092931455,1.0455081857292647,3.2781870529007997,72.31102110032425
1783396710.7114584,1783396710.5813038,1783396710.4614584,0.13015460968017578,1,75.95563092931455,0.9778351196362138,3.0306715254055376,72.1178934385511
1783396710.766685,1783396710.7215157,1783396710.516685,0.04516935348510742,1,74.77103024042421,1.1317239655099725,3.1090640282765096,69.99809279539859
1783396710.8142288,1783396710.7215157,1783396710.5642288,0.0927131175994873,1,74.77103024042421,1.1317239655099725,3.1090640282765096,69.99809279539859
1783396710.8633602,1783396710.7215157,1783396710.6133602,0.1418445110321045,1,74.77103024042421,1.1562704941810638,3.045043429520661,69.20712024362263
1783396710.9144683,1783396710.8602564,1783396710.6644683,0.05421185493469238,1,73.82860073874586,1.3010472206802268,3.2560331596726293,68.21931592070881
1783396710.968521,1783396710.8602564,1783396710.718521,0.10826468467712402,1,73.82860073874586,1.2488410748284715,3.8393723072914083,71.98173358413077
1783396711.027978,1783396710.9984558,1783396710.777978,0.029522180557250977,1,73.29668609675278,1.323986083090332,3.925831791870618,71.3633304463622
1783396711.0878959,1783396710.9984558,1783396710.8378959,0.08944010734558105,1,73.29668609675278,1.2965368342836767,3.7174916045422868,70.77293543120231
1783396711.1354218,1783396710.9984558,1783396710.8854218,0.13696599006652832,1,73.29668609675278,1.2965368342836767,3.7174916045422868,70.77293543120231
1783396711.1917493,1783396711.135393,1783396710.9417493,0.05635643005371094,1,71.55694129250215,1.5435505606266218,3.3536810013741527,65.28548238920922
1783396711.2426176,1783396711.135393,1783396710.9926176,0.10722470283508301,1,71.55694129250215,1.5435505606266218,3.3536810013741527,65.28548238920922
1783396711.2941904,1783396711.2766483,1783396711.0441904,0.017542123794555664,1,69.90259434344419,1.4592028502871734,3.1989856798281675,65.48011417028394
1783396711.3500063,1783396711.2766483,1783396711.1000063,0.07335805892944336,1,69.90259434344419,1.4592028502871734,3.1989856798281675,65.48011417028394
1783396711.4040668,1783396711.2766483,1783396711.1540668,0.12741851806640625,1,69.90259434344419,1.421476678383892,3.0879215085853087,65.28175541138519
1783396711.4619,1783396711.4213889,1783396711.2119,0.040511131286621094,1,67.6675105602059,1.7517016049437928,3.5306843812539697,63.61230937056531
1783396711.5189397,1783396711.4213889,1783396711.2689397,0.09755086898803711,1,67.6675105602059,1.6520684984956628,3.3018284061936716,63.41892691074596
1783396711.5644617,1783396711.4213889,1783396711.3144617,0.14307284355163574,1,67.6675105602059,1.5138257195550995,3.019347850992268,63.37195524293441
1783396711.6319728,1783396711.5680757,1783396711.3819728,0.06389713287353516,1,65.74701845994922,1.9573003282209411,3.5697250565924104,61.26379358152693
1783396711.679817,1783396711.5680757,1783396711.429817,0.11174130439758301,1,65.74701845994922,1.9141439002054557,3.5001357951005683,61.32676357415204
1783396711.7248096,1783396711.7121928,1783396711.4748096,0.012616872787475586,1,65.64787143395732,1.956390830925452,3.547235770729667,61.122146013823254
1783396711.7710316,1783396711.7121928,1783396711.5210316,0.058838844299316406,1,65.64787143395732,1.9479655391395316,3.553229267386928,61.26738973334555
1783396711.8171628,1783396711.7121928,1783396711.5671628,0.10496997833251953,1,65.64787143395732,1.9479655391395316,3.553229267386928,61.26738973334555
1783396711.8619955,1783396711.856786,1783396711.6119955,0.005209445953369141,1,65.77570525446328,1.9571207624068458,3.5505436047364336,61.1356895485769
1783396711.9135442,1783396711.856786,1783396711.6635442,0.05675816535949707,1,65.77570525446328,1.9746756246006063,3.5666905596598513,61.029171530906446
1783396711.9574559,1783396711.856786,1783396711.7074559,0.10066986083984375,1,65.77570525446328,1.9746756246006063,3.5666905596598513,61.029171530906446
1783396712.0088003,1783396712.0020652,1783396711.7588003,0.006735086441040039,1,64.88010352973453,2.17014871776119,3.8180646252931285,60.38654481300093
1783396712.0606284,1783396712.0020652,1783396711.8106284,0.058563232421875,1,64.88010352973453,2.17014871776119,3.8180646252931285,60.38654481300093
1783396712.108272,1783396712.0020652,1783396711.858272,0.10620689392089844,1,64.88010352973453,2.1112230094432767,3.7307310575837223,60.494451737202
1783396712.1511822,1783396712.1452022,1783396711.9011822,0.005980014801025391,1,64.6891451009193,2.0468970381348255,3.7216701998243558,61.189461229813766
1783396712.20159,1783396712.1452022,1783396711.95159,0.056387901306152344,1,64.6891451009193,1.9961582457628984,3.620604222044676,61.13060596611984
1783396712.2446964,1783396712.1452022,1783396711.9946964,0.09949421882629395,1,64.6891451009193,1.9961582457628984,3.620604222044676,61.13060596611984
1783396712.314357,1783396712.2943037,1783396712.064357,0.020053386688232422,1,63.5479502642044,2.192176961267916,3.6879021084968877,59.27174059614996
1783396712.3613183,1783396712.2943037,1783396712.1113183,0.06701469421386719,1,63.5479502642044,2.0159274945472117,3.4129396907852616,59.43084799592702
1783396712.4150462,1783396712.2943037,1783396712.1650462,0.1207425594329834,1,63.5479502642044,2.0159274945472117,3.4129396907852616,59.43084799592702
1783396712.471437,1783396712.4403217,1783396712.221437,0.031115293502807617,1,63.421769349477586,1.9515736369379397,3.173120427466627,58.40711425822938
1783396712.5181425,1783396712.4403217,1783396712.2681425,0.0778207778930664,1,63.421769349477586,1.9515736369379397,3.173120427466627,58.40711425822938
1783396712.564519,1783396712.4403217,1783396712.314519,0.12419724464416504,1,63.421769349477586,1.8750152068073127,3.0440296580026875,58.36839156168053
1783396712.6094003,1783396712.5932517,1783396712.3594003,0.01614856719970703,1,63.04312415245959,2.0230654863800663,3.1820736352373187,57.553042203649426
1783396712.6566038,1783396712.5932517,1783396712.4066038,0.06335210800170898,1,63.04312415245959,2.0230654863800663,3.1820736352373187,57.553042203649426
1783396712.708015,1783396712.5932517,1783396712.458015,0.11476325988769531,1,63.04312415245959,1.9187112606024361,3.0333105148677575,57.68472631415491
1783396712.75008,1783396712.7442343,1783396712.50008,0.005845785140991211,1,62.37117014191374,1.9446812911645854,3.0736640129011623,57.67880805782063
1783396712.8008153,1783396712.7442343,1783396712.5508153,0.05658102035522461,1,62.37117014191374,1.8591802699202662,2.9670069937859833,57.92799739957877
1783396712.851782,1783396712.7442343,1783396712.601782,0.10754776000976562,1,62.37117014191374,1.8591802699202662,2.9670069937859833,57.92799739957877
1783396712.9033597,1783396712.893201,1783396712.6533597,0.010158538818359375,1,61.960586980336764,1.8112335619183655,2.880068967383054,57.834808731603445
1783396712.9505606,1783396712.893201,1783396712.7005606,0.05735945701599121,1,61.960586980336764,1.8112335619183655,2.880068967383054,57.834808731603445
1783396712.9995944,1783396712.893201,1783396712.7495944,0.10639333724975586,1,61.960586980336764,1.7122858035888868,2.7613704857594477,58.197548667819355
1783396713.0488322,1783396713.0440228,1783396712.7988322,0.004809379577636719,1,61.487186568963175,1.8777664202744455,2.886206960734785,56.951969738953885
1783396713.1011698,1783396713.0440228,1783396712.8511698,0.05714702606201172,1,61.487186568963175,1.9387611943785859,2.975330162273837,56.91124693731568
1783396713.1510053,1783396713.0440228,1783396712.9010053,0.10698246955871582,1,61.487186568963175,1.9387611943785859,2.975330162273837,56.91124693731568
1783396713.1978106,1783396713.1930988,1783396712.9478106,0.00471186637878418,1,64.13962223124592,1.6915329087196496,2.785544155442194,58.73161449478364
1783396713.2457688,1783396713.1930988,1783396712.9957688,0.05267000198364258,1,64.13962223124592,1.6915329087196496,2.785544155442194,58.73161449478364
1783396713.2929285,1783396713.1930988,1783396713.0429285,0.09982967376708984,1,64.13962223124592,1.8272067331722552,3.102335376121146,59.50285830719886
1783396713.342009,1783396713.1930988,1783396713.092009,0.1489102840423584,1,64.13962223124592,1.8272067331722552,3.102335376121146,59.50285830719886
1783396713.3986328,1783396713.340089,1783396713.1486328,0.05854368209838867,1,67.88795491566806,1.6075994137410843,3.0739064986711098,62.39121856086101
1783396713.454812,1783396713.340089,1783396713.204812,0.11472296714782715,1,67.88795491566806,1.6075994137410843,3.0739064986711098,62.39121856086101
1783396713.5134537,1783396713.4883878,1783396713.2634537,0.025065898895263672,1,71.25982806360659,1.290016248506862,3.0408290514154337,67.01180120717623
1783396713.566484,1783396713.4883878,1783396713.316484,0.07809615135192871,1,71.25982806360659,1.4129419717771257,3.434460666767317,67.63766478406522
1783396713.6213412,1783396713.4883878,1783396713.3713412,0.13295340538024902,1,71.25982806360659,1.4129419717771257,3.434460666767317,67.63766478406522
1783396713.680642,1783396713.637384,1783396713.430642,0.043257951736450195,1,74.63565589107456,1.192205739157027,3.0708310175183047,68.78201816717602
1783396713.7350442,1783396713.637384,1783396713.4850442,0.09766030311584473,1,74.63565589107456,1.192205739157027,3.0708310175183047,68.78201816717602
1783396713.786527,1783396713.637384,1783396713.536527,0.14914298057556152,1,74.63565589107456,1.2574782232628128,3.2846158761527096,69.05121784321138
1783396713.836505,1783396713.7860281,1783396713.586505,0.050476789474487305,1,79.27510286594074,0.9135565667838832,2.7590431906387476,71.67959344629097
